year,month,date,day,time,lineup,canceled,postponed,soldOut
2019,October,22,Tue,6:00pm,Treesreach | Gloin,False,False,False

2019,October,23,Wed,6:00pm,Tsushimamire | Pleasants | Art Monk,False,False,False

2019,October,24,Thu,4:00pm,Homesafe | Kayak Jones | Young Culture | Keep Flying,False,False,False

2019,October,24,Thu,9:30pm,Lt Headtrip | Toby Diligent | Marcey Yates | J Crum,False,False,False

2019,October,25,Fri,7:00pm,Moon Hooch | Jaw Gems,False,False,False

2019,October,26,Sat,4:30pm,Halloscene A Friendfest Spooktacular | On Hiatus Blink182 | Kickstart The Sun Fall Out Boy | Katlyn of Crossing Tongues Paramore | Hookshot New Found Glory | Main State A Day to Remember,False,False,False

2019,October,26,Sat,9:30pm,Night Stories | Traffic Death | Glass Ox,False,False,False

2019,October,29,Tue,7:30pm,The Legendary Shack Shakers | Eric Kennedy,False,False,False

2019,October,30,Wed,4:30pm,Classic Halloween Horror,False,False,False

2019,October,31,Thu,7:30pm,Mayday | 1 Ton,False,False,False

2019,September,2,Mon,7:00pm,Jon Spencer  the HITmakers | Demolition Doll Rods,False,False,False

2019,September,3,Tue,6:00pm,Frosty Palms | Birdie Pie | Danny Russel Wolf,False,False,False

2019,September,5,Thu,6:00pm,Of Good Nature,False,False,False

2019,September,5,Thu,9:30pm,Clang | Zuul | Nostromo,False,False,False

2019,September,6,Fri,5:30pm,Pink Neighbor album release party | Annalibera | Contakta,False,False,False

2019,September,6,Fri,9:30pm,Druids | The Gorge | Blood Spell | Gleaner,False,False,False

2019,September,7,Sat,5:00pm,The Eleanors | Sleepwell | Five AM | Eugene Levy,False,False,False

2019,September,7,Sat,9:30pm,LyinHeart | Natural Oil | 3 Finger Betty,False,False,False

2019,September,8,Sun,4:30pm,Sea of Treachery | Aethere | Foxbat | Romeo Tried,False,False,False

2019,September,9,Mon,5:30pm,Sheer Mag | Tweens | Quick Piss,False,False,False

2019,September,9,Mon,9:30pm,And And And | Royal,False,False,False

2019,September,10,Tue,6:30pm,Birth of the CyHawk,False,False,False

2019,September,13,Fri,7:00pm,Cursive | Oquoa | Odd Pets,False,False,False

2019,September,14,Sat,5:00pm,Vein | Soft Kill | Higher Power | Modern Color,False,False,False

2019,September,14,Sat,9:30pm,The New Bodies | Extravision,False,False,False

2019,September,15,Sun,6:00pm,Walker Lukens,False,False,False

2019,September,16,Mon,5:00pm,Ingested canceled | Anger Incarnate | Romeo Tried | Chapter | Tumera Divine,True,False,False

2019,September,17,Tue,6:00pm,Skating Polly | Good Devils | The Sleepover,False,False,False

2019,September,18,Wed,8:30pm,1476 | Into The Cove | Musician,False,False,False

2019,September,19,Thu,6:00pm,Ed Bassmaster SOLD OUT,False,False,True

2019,September,19,Thu,9:30pm,Kaelan Mikla | Nostromo,False,False,False

2019,September,20,Fri,6:00pm,Warbringer | Enforcer | Dark Mirror | Heir of Sorrow | Frontal Assault,False,False,False

2019,September,21,Sat,5:00pm,Bloodletting North American Tour | Disentomb | Visceral Disgorge | Signs of the Swarm | Contiuum | Organectomy | Mental Cruelty | Guilty of Treason | Oppress The Tyrant,False,False,False

2019,September,22,Sun,1:30pm,Formants | Quick Piss | Haunted Gauntlet | Heavy Gratitude,False,False,False

2019,September,22,Sun,7:30pm,Meat Wave | The Vahnevants | Into The Cove,False,False,False

2019,September,23,Mon,7:00pm,Mdou Moctar,False,False,False

2019,September,24,Tue,6:00pm,Sun June | Lovers Valley,False,False,False

2019,September,24,Tue,9:30pm,Chnnll | Chase Schweitzer,False,False,False

2019,September,25,Wed,6:00pm,Yip Deceiver | Huxley Maxwell | Adam in the Parking Lot,False,False,False

2019,September,25,Wed,9:30pm,Humbird | Spectral Snake | Extravision,False,False,False

2019,September,26,Thu,6:00pm,The Mynabirds | The Jones Family Retro Show | Patrick Damphier,False,False,False

2019,September,27,Fri,5:00pm,Deterioration | Morbo | Nasawa | Excrescence,False,False,False

2019,September,27,Fri,9:30pm,Frequency,False,False,False

2019,September,28,Sat,6:00pm,Night Moves | Annalibera,False,False,False

2019,September,28,Sat,9:30pm,John June Year | Foxholes | Art Monk,False,False,False

2019,September,29,Sun,5:00pm,Rotting Out | Rig Time | Brevity | Eugene Levy,False,False,False

2019,September,30,Mon,7:30pm,Proper | Moonlighting | Mint Green | Katie Sin,False,False,False

2019,August,1,Thu,6:00pm,Think No Think | The Eleanors | Ten Four,False,False,False

2019,August,2,Fri,5:30pm,It Looks Sad. | Alluvion,False,False,False

2019,August,2,Fri,9:30pm,Cold Winds | Pizza Babe | The Mimzees | Lvvmaking,False,False,False

2019,August,3,Sat,5:00pm,Cliterati | Blackwell | Primal Breath | Victimized Youth,False,False,False

2019,August,4,Sun,1:30pm,Bill Forness  One More Round  A Tribute to Johnny Cash,False,False,False

2019,August,4,Sun,6:00pm,Natural Born Leaders | Origami Animals | Uncle,False,False,False

2019,August,5,Mon,6:30pm,Phantom of the Paradise,False,False,False

2019,August,6,Tue,6:00pm,Zao | Wolf King | Hollow Earth,False,False,False

2019,August,7,Wed,7:30pm,The Artisanals,False,False,False

2019,August,8,Thu,6:00pm,Voodoo Gearshift | Slights | Mike Sangster,False,False,False

2019,August,9,Fri,6:00pm,Hammer Down Hard,False,False,False

2019,August,9,Fri,9:30pm,Arkansauce,False,False,False

2019,August,10,Sat,5:00pm,Hookshot | No Good Deed | The Slow Retreat | Trendsetter,False,False,False

2019,August,10,Sat,9:30pm,Histo | Gloom Balloon | Foxholes,False,False,False

2019,August,11,Sun,7:30pm,Multicult | Tongue Party | Skin of Earth | Gleaner,False,False,False

2019,August,12,Mon,6:00pm,Demir Demirikan,False,False,False

2019,August,13,Tue,6:00pm,Chapo Trap House Elections Unit SOLD OUT,False,False,True

2019,August,14,Wed,5:00pm,Hot Flash Heat Wave | Kemble the Band,False,False,False

2019,August,14,Wed,9:30pm,Reverend Jack,False,False,False

2019,August,15,Thu,9:30pm,The Raid of Area 515,False,False,False

2019,August,16,Fri,7:00pm,Pinback | Nick Reinhart of Tera Melos,False,False,False

2019,August,17,Sat,8:30pm,First Annual Open Mic Event,False,False,False

2019,August,18,Sun,6:00pm,Amy LaVere  Will Sexton,False,False,False

